7345,aa,alo,,ALOPECIA AREATA,,"Approximately *** hair follicles are present for evaluation. Peribulbar lymphocytic inflammation is appreciated, and there is an increase in catagen/telogen hairs. There is also a significant increase in miniaturized hair follicles), with a terminal to vellus hair ratio of approximately ***. There is no evidence of scarring, and the epidermis is unremarkable. A periodic acid-Schiff stain was utilized in the diagnostic evaluation (and is negative for fungus).",88305%%%%88312,704.01,L57.5,,0,0,0,0,0,0,
7346,aad,deg,,ALPHA1-ANTITRYPSIN DEFICIENCY,,"Sections show a septal panniculitis with spillover into the lobules, with numerous neutrophils, and fat necrosis.",88305,729.39,L92.0,,0,0,0,0,0,0,
7347,abci,lyt,,ATYPICAL B-CELL INFILTRATE,,Sections show a dense lymphoid infiltrate in the dermis.,88305,238.2,,,1,0,0,0,0,0,
7348,abl,vas,,ATROPHIE BLANCHE,,"Sections show a vasculopathy with hyalinized thickening of the small blood vessels in the mid and deep dermis, and an associated lymphocytic infiltrate.",88305,709.1,L95.0,,0,0,0,0,0,0,
7349,abn,hat,,ATYPICAL BASALOID PROLIFERATION,"This lesion is difficult to further characterize, as only the surface is present for evaluation.  Although the findings could represent a portion of adnexal epithelium or adnexal neoplasm with reactive atypia, an underlying basal cell carcinoma cannot be excluded. ",Sections show a minute portion of basaloid epithelium with atypia. ,88305,238.2,D23,,0,0,0,0,0,0,
7350,abr,inf,,ARTHROPOD BITE REACTION,,"Sections show acanthosis with mild spongiosis, papillary dermal edema and a dermal mixed inflammatory cell infiltrate with prominent eosinophils.",88305,919.4,T14.1,,0,0,0,0,0,0,
7351,abs,inf,,ABSCESS,,"Sections show a dense dermal inflammatory infiltrate composed of collections of neutrophils, surrounded by acute and chronic inflammation. ",88304,682.9,,,0,0,0,0,0,0,
7352,acana,det,,ACANTHOLYTIC ACANTHOMA,,"Sections show acanthosis with acantholysis, overlying parakeratosis and corps ronds formation. ",88305,216.9,,,0,0,0,0,0,0,
7353,acan,deg,,ACANTHOSIS NIGRICANS,,Sections show papillomatosis with hyperkeratosis and mild acanthosis.,88305,701.2,L57.5,,0,0,0,0,0,0,
7354,acd,der,,ALLERGIC CONTACT DERMATITIS,No fungal hyphae are detected with a periodic acid-Schiff stain. ,"Sections show acanthosis with spongiosis and parakeratosis, associated with a superficial lymphoid infiltrate with eosinophils.  ",88305%%%%88312,692.9,L44.1,,0,0,0,0,0,0,
7355,ache,org,,ACTINIC CHEILITIS,,Sections show squamous cell atypia with foci of parakeratosis.,88305,692.79,L56.8,,1,0,0,0,0,0,
7356,acroa,der,,ACRO-ANGIODERMATITIS (CHRONIC STASIS CHANGES),,"Sections show marked lobular proliferation of superficial blood vessels, fibrosis and hemosiderin deposition.",88305,448.9,L92.3,,0,0,0,0,0,0,
7357,actino,inf,,ACTINOMYCOSIS,,Sections show a dermal abscess with colonial granules composed of slender beaded filaments at the periphery of the granule.,88305,39.9,A42,,0,0,0,0,0,0,
7358,ada,sqt,,ACANTHOLYTIC DYSKERATOTIC ACANTHOMA,,"Sections show acanthosis with acantholysis, overlying parakeratosis and corps ronds formation. ",88305,216.9,L57.5,,0,0,0,0,0,0,
7359,adep,deg,,ACRODERMATITIS ENTEROPATHICA,,Sections show parakeratosis and pallor of upper epidermal cells.,88305,686.8,L92.3,,0,0,0,0,0,0,
7360,adf,det,,ACRAL FIBROKERATOMA (ACQUIRED DIGITAL FIBROKERATOMA),,"Sections show hyperkeratosis, acanthosis, and dermal fibroblasts with thick collagen bundles.",88305,216.9,L57.5,,0,0,0,0,0,0,
7361,adlip,fat,,ADENOLIPOMA,,Sections show lobules of mature adipose tissue admixed with benign eccrine glands.,88304,214.1,L57.5,,0,0,0,0,0,0,
7362,aegn,gra,,ANNULAR GIANT CELL ELASTOLYTIC GRANULOMA (ACTINIC GRANULOMA),,Sections show an interstitial infiltrate of palisaded histiocytes with prominent elastophagocytosis surrounding degenerated elastolytic material. No fungi are detected with a periodic acid-Schiff stain.,88305%%%%88312,695.89,L57.5,,0,0,0,0,0,0,
7363,aesps,sqt,,"EXO AND ENDOPHYTIC SQUAMOUS PROLIFERATION WITH ATYPIA, MOST CONSISTENT WITH THE SURFACE OF AN IRRITATED SEBORRHEIC KERATOSIS","Although at times it can be difficult to distinguish between well differentiated squamous cell carcinoma and irritated seborrheic keratosis when only the surface of the lesion is sampled, the overall architectural and cytologic features are most consistent with an irritated seborrheic keratosis with reactive atypia. The base of the lesion is not available for evaluation.",Sections show the surface of a papillary and endophytic squamous proliferation with mild atypia and reactive changes.,88305,702.11,,,0,0,0,0,0,0,
7364,aespv,sqt,,"VERRUCOUS AND ENDOPHYTIC SQUAMOUS PROLIFERATION WITH ATYPIA, MOST CONSISTENT WITH THE SURFACE OF AN IRRITATED VERRUCA","Although the surface of a well differentiated squamous cell carcinoma can show warty changes,  the overall architectural and cytologic features are most consistent with an irritated verruca with reactive atypia. The base of the lesion is not available for evaluation.","Sections show the surface of a verrucous and endophytic squamous proliferation with hypergranulosis, mild atypia, and reactive changes.",88305,78.1,,,0,0,0,0,0,0,
7365,afh,det,,ATYPICAL FIBROUS HISTIOCYTOMA,"Certain variants of fibrous histiocytoma/dermatofibroma (atypical, cellular, aneurysmal, and deep) have an increased risk of local recurrence (approximately 25%) and have been described on rare occasion to behave in an aggressive fashion (see references below).","Sections show interlacing bundles of histiocytoid and spindle cells in the dermis with scattered pleomorphic nuclei and mitoses, within a fibrocollagenous stroma. REFERENCE: Kaddu S et al. Atypical fibrous histiocytoma of the skin: clinicopathologic analysis of 59 cases with evidence of infrequent metastasis. Am J Surg Pathol 2002; 26: 35-46. Doyle L. and Fletcher C.D.M. Metastasizing Benign"" Cutaneous Fibrous Histiocytoma: A Clinicopathologic Analysis of 16 Cases. Am J Surg Pathol 2013;37;484-495.""",88305,238.2,D86,,0,0,0,0,0,0,
7366,afx,det,,ATYPICAL FIBROXANTHOMA,"Atypical fibroxanthoma (AFX) is a dermal mesenchymal neoplasm arising in sun-damaged skin that, when confined to the dermis, is widely considered to act indolently despite its malignant cytologic features, and recurrence after appropriate excision is uncommon. If this lesion extends significantly into the subcutis, however, the prognosis may not be as good as would be expected for an atypical fibroxanthoma (see reference below), and the diagnosis would be pleomorphic unclassified sarcoma (formerly known as malignant fibrous histiocytoma). ","Sections show a cellular proliferation of pleomorphic and spindle cells in the dermis present for evaluation, with numerous mitoses, including atypical ones. No necrosis is identified. Immunohistochemical stains were performed to determine a line of differentiation, which reveal that the tumor cells are positive for *** and are negative for ***. REFERENCE: Miller K. et al. Pleomorphic Dermal Sarcoma: Adverse Histologic Features Predict Aggressive Behavior and Allow for Distinction From Atypical Fibroxanthoma. Am J Surg Pathol 2012, Sep;36(9):1317-2",88305,173.99,L92.0,,0,0,0,0,0,0,
7367,agep,der,,ACUTE GENERALIZED EXANTHEMATOUS PUSTULOSIS,,Sections show subcorneal and intraepidermal pustules and a superficial perivascular lymphoid infiltrate with eosinophils.,88305,693.9,,,0,0,0,0,0,0,
7368,ah,swt,,APOCRINE HIDROCYSTOMA,,Sections show a cyst lined by layers of cuboidal epithelium with apocrine type secretion.,88305,216.9,,,0,0,0,0,0,0,
7369,aitl,lyt,,ANGIO-IMMUNOBLASTIC T-CELL LYMPHOMA,,"Sections show small-to medium sized pleomorphic CD4 positive T-cells admixed with plasma cells, eosinophils, histiocytes, immunoblasts, and EBV + B-cells and an increased number of venules with prominent endothelial cell lining.",88305,202.8,,,0,1,0,0,0,0,
7370,ak,sqt,,ACTINIC KERATOSIS,,Sections show atypical squamous cells in the lower epidermis with overlying parakeratosis.,88305,702,L57.0,M-72850,1,0,0,0,0,0,
7371,akn,der,,ACNE KELOIDALIS NUCHAE,,Sections show cystically dilated hair follicles associated with prominent dermal fibrosis and keloidal collagen. There is a mixed inflammatory cell infiltrate and the sebaceous glands are markedly diminished.  A periodic acid-Schiff stain was utilized in the diagnostic evaluation (and is negative for fungus).,88305%%%%88312,706.1,L57.5,,0,0,0,0,0,0,
7372,alcl,lyt,,ANAPLASTIC LARGE CELL LYMPHOMA,"The findings are consistent with anaplastic large cell lymphoma (either primary cutaneous or secondary cutaneous involvement by a systemic primary) in the appropriate clinical context. However, due to the overlap of histologic features between anaplastic large cell lymphoma  and lymphomatoid papulosis, as well as cutaneous T-cell lymphoma in transformation, correlation with clinical presentation and findings is recommended. ","Sections show sheets of anaplastic CD30+ T-cells, which coexpress CD3, 4, and CD5, and which are negative for CD8 and CD56. Admixed neutrophils and eosinophils are also present.",88305,200.6,,,0,1,0,0,0,0,
7373,alhe,vat,,EPITHELIOID HEMANGIOMA (ANGIOLYMPHOID HYPERPLASIA WITH EOSINOPHILIA),,Sections show thick and thin-walled vessels lined by a single layer of plump endothelial cells and an inflammatory infiltrate of lymphocytes and eosinophils.,88305,228.01,,,0,0,0,0,0,0,
7374,alip,fat,,ANGIOLIPOMA,,Sections show mature adipose tissue with vascular proliferation and focal fibrin thrombi.,88304,214.1,,,0,0,0,0,0,0,
7375,alm,det,,ANGIOLEIOMYOMA,,"Sections show a well-circumscribed proliferation of interlacing bundles of spindle cells with elongated nuclei and abundant eosinophilic cytoplasm, distributed around blood vessels.",88305,216.9,L92.3,,0,0,0,0,0,0,
7376,alp,der,,ATROPHIC LICHEN PLANUS,No fungal hyphae are detected with a PAS stain.,"Sections show epidermal atrophy with focal hypergranulosis, hyperkeratosis, and saw-toothing of the rete ridge architecture. There is a band-like lymphoid infiltrate at the dermoepidermal junction, with basal keratinocyte injury and cytoid body formation. Eosinophils are not conspicuous. ",88305%%%%88312,697,L43,,0,0,0,0,0,0,
7378,amyco,inf,,ATYPICAL MYCOBACTERIAL INFECTION,,Sections show acid-fast bacilli with a granulomatous infiltrate.,88305,31.9,,,0,0,0,0,0,0,
7379,amyl,deg,,AMYLOIDOSIS,,Sections show deposits of amyloid.,88305,277.3,E85,,0,0,0,0,0,0,
7380,amyn,deg,,NODULAR AMYLOIDOSIS,,Sections show nodular deposits of amyloid.,88305,277.39,,,0,0,0,0,0,0,
7381,anet,deg,,ANETODERMA,"The findings are consistent with anetoderma. Clinical correlation is needed to assess whether this is primary, secondary, or localized (i.e. post-inflammatory) anetoderma, as this distinction cannot be made on histologic grounds.",An elastic stain reveals absence of elastic fibers in the papillary dermis as well as markedly decreased numbers of elastic fibers in the superficial reticular dermis. ,88305,701.3,,,0,0,0,0,0,0,
7382,ank,vat,,ANGIOKERATOMA,,Sections show epidermal hyperplasia with dilated thin-walled vessels in the superficial dermis abutting the epidermis.,88305,216.9,,,0,0,0,0,0,0,
7383,aph,ora,,APHTHOUS STOMATITIS (APHTHOUS ULCER),"Aphthous stomatitis can be idiopathic, secondary to trauma, or due to an underlying systemic disorder.","Sections show mucosal ulceration with fibrin clot formation, granulation tissue, and associated acute and chronic inflammation.",88305,528.2,,,0,0,0,0,0,0,
7384,apl,vat,,ACQUIRED PROGRESSIVE LYMPHANGIOMA,,Sections show numerous anastomosing dilated thin-walled vessels within the dermis with the vessels lined by a single layer of bland endothelial cells.,88305,228.1,,,0,0,0,0,0,0,
7385,apls,cvd,,ANTIPHOSPHOLIPID ANTIBODY SYNDROME,,Sections show thrombotic vasculopathy.,88305,289.81,L57.5,,0,0,0,0,0,0,
7386,apoa,swt,,APOCRINE ADENOMA,,Sections show a circumscribed dermal nodule composed of tubules with apocrine secretion.,88305,216.9,,,0,0,0,0,0,0,
7387,apof,det,,CALCIFYING APONEUROTIC FIBROMA,"Calcifying aponeurotic fibroma is an uncommon tumor and although benign, local recurrence is common (up to 50 percent).","Sections show an irregular mass of dense cellular fibrous tissue composed of plump myofibroblasts, with focal calcification.",88305,216.9,,,0,0,0,0,0,0,
7388,aporo,sqt,,SUPERFICIAL ACTINIC POROKERATOSIS,,"Sections show slight epidermal atrophy with mild actinic squamous atypia, cornoid lamellae, and solar elastosis.",88305,757.39,Q82.8,D0-00236,0,0,0,0,0,0,
7389,arg,phy,,ARGYRIA,,Sections show deposition of fine black granules in the basement membrane zone and along dermal fibers.,88305,709.09,,,0,0,0,0,0,0,
7390,arkr,sqt,,ARSENICAL KERATOSIS,,Sections show atypical intraepidermal squamous cells.,88305,692.4,L85.8,M-72600,1,0,0,0,0,0,
7391,as,vat,,ANGIOSARCOMA,,Sections show interanastomosing and abortive vascular spaces which dissect and infiltrate dermal collagen. Vascular channels display hyperchromatic and enlarged endothelial cell nuclei which are immunoreactive with CD31.,88305,173.99,,,0,1,0,0,0,0,
7393,asper,inf,,ASPERGILLOSIS,,Sections show dichotomously branching septate hyphae.,88305,117.3,B44,,0,0,0,0,0,0,
7395,asteat,der,,ASTEATOTIC DERMATITIS,No fungal hyphae are detected with a PAS stain.,"Sections show slight spongiosis, focal parakeratosis, and a sparse perivascular lymphoid infiltrate.",88305%%%%88312,692.89,,,0,0,0,0,0,0,
7396,at,org,,AMALGAM TATTOO,,Sections show dermal deposits of foreign pigmented particles along collagen fibers and around blood vessels.,88305,709.09,,,0,0,0,0,0,0,
7397,atc,met,,ATYPICAL JUNCTIONAL EPITHELIOID CELL (SPITZ) NEVUS,,"Sections show uniform epithelioid intraepidermal melanocytes and pagetoid spread, predominantly restricted to the lower to mid epidermis.",88305,238.2,D22,M-87700,0,0,1,1,0,0,
7398,atci,lyt,,ATYPICAL T-CELL INFILTRATE,"Although atypical, the findings are insufficient for an outright diagnosis of cutaneous T-cell lymphoma. Since atypical lymphoid infiltrates may evolve over time, further sampling is recommended if clinically appropriate.",Sections show a dense lymphoid infiltrate in the dermis.,88305,238.2,,,1,0,0,0,0,0,
7399,atop,der,,ATOPIC DERMATITIS,No fungal hyphae are detected with a PAS stain.,"Sections show acanthosis, slight spongiosis, parakeratosis, and a superficial perivascular lymphoid infiltrate with scattered eosinophils. ",88305%%%%88312,691.8,L20,,0,0,0,0,0,0,
7400,atra,gen,,ACCESSORY TRAGUS,,Sections show a polypoid lesion with a fibrovascular core below the epidermis containing multiple hair follicles with underlying mature adipose tissue and elastic cartilage.,88305,744.1,L57.5,,0,0,0,0,0,0,
7401,atrod,deg,,ATROPHODERMA,,"Sections show a sparse perivascular lymphoid infiltrate with subtle homogenization of the collagen bundles, and without significant alteration in number or distribution of elastic fibers. ",88305,701.9,,,0,0,0,0,0,0,
7402,avh,vat,,ARTERIOVENOUS HEMANGIOMA,,Sections show proliferation of thick and thin-walled vessels containing erythrocytes.,88305,228.01,,,0,0,0,0,0,0,
7403,avp,vat,,ATYPICAL VASCULAR PROLIFERATION,,Sections show an atypical vascular proliferation in the dermis.,88305,238.2,,,1,0,0,0,0,0,
7404,baca,inf,,BACILLARY ANGIOMATOSIS,,Sections show an inflamed vascular lesion with plump endothelial cells containing organisms seen as clumps of amphophilic granular material.,88305,83.8,A44.8,,0,0,0,0,0,0,
7405,badas,cvd,,BOWEL-ASSOCIATED DERMATOSIS-ARTHRITIS SYNDROME,,"Sections show perivascular and interstitial neutrophilic infiltrate with erythrocyte extravasation, papillary dermal edema and leukocytoclasis.",88305,692.9,L92.3,,0,0,0,0,0,0,
7406,bcc,sqt,,BASAL CELL CARCINOMA,,"Sections show dermal lobules composed of small, uniform, polygonal, basaloid cells with peripheral palisading embedded in a fibromyxoid stroma.",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7407,bcci,sqt,,"BASAL CELL CARCINOMA, INFILTRATIVE TYPE",,Sections show elongated infiltrative cords and strands of basaloid cells embedded in a fibromyxoid stroma.,88305,173.91,C44,M-80903,0,1,0,0,0,0,
7408,bccinfun,sqt,,"BASAL CELL CARCINOMA, INFUNDIBULOCYSTIC TYPE",,Sections show a dermal proliferation of basaloid cells arranged in anastomosing cords with peripheral palisading and small infundibular cyst formation.,88305,173.91,C44,M-80903,0,1,0,0,0,0,
7409,bccm,sqt,,"BASAL CELL CARCINOMA, MICRONODULAR TYPE",,"Sections show small dermal aggregates composed of small, uniform, polygonal, basaloid cells with peripheral palisading embedded in a fibromyxoid stroma.",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7410,bccmet,sqt,,"BASAL CELL CARCINOMA, METATYPICAL (BASOSQUAMOUS) TYPE",,"Sections show a biphasic infiltrative neoplasm composed of aggregates and cords of polygonal, basaloid cells associated with atypical squamous cells, embedded in a fibromyxoid stroma.",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7411,bccmi,sqt,,"BASAL CELL CARCINOMA, MICRONODULAR AND INFILTRATIVE TYPES",,"Sections show small dermal aggregates and angulated cords of uniform, polygonal basaloid cells embedded in a fibromyxoid stroma.",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7412,bccn,sqt,,"BASAL CELL CARCINOMA, NODULAR TYPE",,"Sections show dermal lobules composed of small, uniform, polygonal, basaloid cells with peripheral palisading embedded in a fibromyxoid stroma.",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7413,bccni,sqt,,"BASAL CELL CARCINOMA, NODULAR AND INFILTRATIVE TYPES",,"Sections show dermal lobules and angulated cords of small, uniform, polygonal basaloid cells embedded in a fibromyxoid stroma.",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7414,bccnm,sqt,,"BASAL CELL CARCINOMA, NODULAR AND MICRONODULAR TYPES",,"Sections show small and large dermal lobules composed of uniform, polygonal, basaloid cells with peripheral palisading embedded in a fibromyxoid stroma.",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7415,bccs,sqt,,"BASAL CELL CARCINOMA, SUPERFICIAL TYPE",,"Sections show downward budlike aggregates of polygonal basaloid cells attached to the epidermal undersurface, with peripheral palisading and cleft artifact. ",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7416,bccsd,sqt,,BASAL CELL CARCINOMA WITH SEBACEOUS DIFFERENTIATION,,"Sections show dermal lobules composed of uniform, polygonal basaloid cells with focal sebaceous differentiation.",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7417,bccsi,sqt,,"BASAL CELL CARCINOMA, SUPERFICIAL AND INFILTRATIVE TYPES",,"Sections show downward budlike aggregates of polygonal basaloid cells attached to the epidermal undersurface, and infiltrating angulated cords of basaloid cells embedded in a fibromyxoid stroma. ",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7418,bccsm,sqt,,"BASAL CELL CARCINOMA, SUPERFICIAL AND MICRONODULAR TYPES",,"Sections show downward budlike aggregates of polygonal basaloid cells attached to the epidermal undersurface, and small aggregates of basaloid cells embedded in a fibromyxoid stroma. ",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7419,bccsmi,sqt,,"BASAL CELL CARCINOMA, SUPERFICIAL, MICRONODULAR AND INFILTRATIVE TYPES",,"Sections show downward budlike aggregates of polygonal basaloid cells attached to the epidermal undersurface, and small aggregates and angulated cords of infiltrating basaloid cells embedded in a fibromyxoid stroma. ",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7420,bccsn,sqt,,"BASAL CELL CARCINOMA, SUPERFICIAL AND NODULAR TYPES",,"Sections show downward budlike aggregates of polygonal basaloid cells attached to the epidermal undersurface, and lobular aggregates of basaloid cells embedded in a fibromyxoid stroma. ",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7421,bccsni,sqt,,"BASAL CELL CARCINOMA, SUPERFICIAL, NODULAR AND INFILTRATIVE TYPES",,"Sections show downward budlike aggregates of polygonal basaloid cells attached to the epidermal undersurface, and lobular aggregates and angulated cords of infiltrating basaloid cells embedded in a fibromyxoid stroma. ",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7422,bccsnm,sqt,,"BASAL CELL CARCINOMA, SUPERFICIAL, NODULAR AND MICRONODULAR TYPES",,"Sections show downward budlike aggregates of polygonal basaloid cells attached to the epidermal undersurface, and small and large aggregates of basaloid cells embedded in a fibromyxoid stroma. ",88305,173.91,C44,M-80903,0,1,0,0,0,0,
7424,bch,lyt,,BENIGN CEPHALIC HISTIOCYTOSIS,,Sections show an upper dermal histiocytic infiltrate with occasional multinucleated histiocytes and lymphocytes.,88305,277.89,D76.3,,0,0,0,0,0,0,
7426,becn,met,,BECKER'S NEVUS,,"Sections show lentiginous hyperplasia, increased basal keratinocyte melanin and increased number of smooth muscle bundles in dermis.",88305,216.9,Q82.5,,0,0,0,0,0,0,
7428,bfh,hat,, BASALOID FOLLICULAR HAMARTOMA,,Sections show thin anastomosing strands of small basaloid cells attached to pilosebaceous units.,88305,759.6,D23,,0,0,0,0,0,0,
7430,bimp,inf,,BULLOUS IMPETIGO,,Sections show a subcorneal bulla with a few acantholytic cells and collections of neutrophils and Gram positive cocci.  No fungi are detected with a periodic acid-Schiff stain.,88305%%%%88312,684,L01,,0,0,0,0,0,0,
7431,bk,sqt,,BENIGN KERATOSIS,,Sections show acanthosis and hyperkeratosis.,88305,701.1,L85.9,T-D000A,0,0,0,0,0,0,
7432,blh,lyt,,CUTANEOUS LYMPHOID HYPERPLASIA (LYMPHOCYTOMA CUTIS),,"Sections show a dense dermal infiltrate composed of mixed B-lymphocytes (CD20+), T-cells (CD3+), plasma cells, and eosinophils.",88305,709.9,,,0,0,0,0,0,0,
7434,blpyo,inf,,BLASTOMYCOSIS-LIKE PYODERMA,,"Sections show a dense dermal inflammatory infiltrate with associated pseudoepitheliomatous hyperplasia, microabscesses and follicular units acting as draining sinuses.",88305,686.09,L01,,0,0,0,0,0,0,
7435,blyb,lyt,,B-CELL LYMPHOBLASTIC LEUKEMIA/LYMPHOMA,"Correlation with other clinical, laboratory, and molecular findings is recommended for definitive subclassification and prognostication.","Sections show a diffuse monomorphous infiltrate of lymphoblasts with dispersed chromatin in the dermis, with frequent mitoses and apoptotic cells. The neoplastic cells are positive for CD79a, TdT, and CD10.",88305,204.9,,,0,1,0,0,0,0,
7436,bn,met,,BLUE NEVUS,,Sections show dermal pigmented dendritic melanocytes in a collagenous stroma.,88305,216.9,D22,,0,0,0,1,0,0,
7437,bncom,met,,"BLUE NEVUS, COMMON",,Sections show dermal pigmented dendritic melanocytes and collagenous stroma.,88305,216.9,D22,,0,0,0,1,0,0,
7438,bp,bul,,BULLOUS PEMPHIGOID,Bullous pemphigoid and epidermolysis bullosa acquisita may have an indistinguishable direct immunofluorescence pattern.  ,"Sections show dermal inflammation containing eosinophils and neutrophils with a subepidermal cleft, eosinophilic spongiosis and eosinophils tagging along the dermoepidermal junction.",88305,694.5,L57.5,,0,0,0,0,0,0,
7439,bpap,sqt,,BOWENOID PAPULOSIS,The histopathologic findings in lesions of bowenoid papulosis are indistinguishable from those of human papillomavirus-induced squamous cell carcinoma in situ. ,"Sections show acanthosis, with human papillomavirus-induced changes, and areas of full-thickness squamous cell atypia.",88305,232.9,B07,DE-32A09,1,0,0,0,0,0,
7440,bpdc,lyt,,BLASTIC PLASMACYTOID DENDRITIC CELL NEOPLASM (CD4+/CD56+ HEMATODERMIC NEOPLASM),"Clinicopathologic correlation, including with bone marrow findings and other hematologic parameters, is recommended for definitive subclassification and prognostication."," Sections show an infiltrate of monomorphic mononuclear cells with a blastoid morphology around vessels and dissecting through dermal collagen. No epidermal involvement is appreciated.  Immunohistochemical stains reveal that the neoplastic cells are positive for CD56, CD4, CD123, CD43, and are negative for CD117, CD20, CD34, CD3 (which reveals small aggregates of admixed reactive T-cells), myeloperoxidase, CD163 (which highlights admixed histiocytes), and CD8. In situ hybridization for EBER is also negative.",88305,239.9,,,0,1,0,0,0,0,
7441,bpu,bul,,"BULLOUS PEMPHIGOID, URTICARIAL STAGE",,Sections show eosinophils in the dermis and along the dermal-epidermal junction.,88305,694.5,L57.5,,0,0,0,0,0,0,
7442,brclc,cys,,BRANCHIAL CLEFT CYST,,Sections show a cystic space lined by squamous epithelium and keratin debris. There are also small foci of ciliated columnar epithelium.,88304,706.2,L57.5,,0,0,0,0,0,0,
7443,bvk,sqt,,BENIGN VERRUCOUS KERATOSIS,,"Sections show hyperkeratosis, hypergranulosis, and digitated acanthosis. ",88305,701.1,L85.9,T-D000A,0,0,0,0,0,0,
7445,ca,inf,,CONDYLOMA ACUMINATUM,,"Sections show acanthosis with coarse hypergranulosis, focal parakeratosis and vacuolated keratinocytes with large gray nuclei.",88305,78.11,A51.3,,0,0,0,0,0,0,
7447,calc,deg,,CALCINOSIS CUTIS,,Sections show deposits of calcium in the dermis.,88305,709.3,L94.2,,0,0,0,0,0,0,
