"Id","code","text"
"1","304","%%88304%%"
"2","305","%%88305%%"
"3","312","%%88312%%"
"4","313","%%88313%%"
"5","342","%%88342%%"
"8","a/d","atypical / dysplastic nevus"
"9","aa","alopecia areata"
"10","abn","atypical basaloid neoplasm"
"11","abr","arthropod bite reaction"
"12","abs","Sections were incubated with antibodies against IgG, IgM, IgA, C3, fibrin and albumin.%%88346%%"
"13","ac","architectural and cytologic"
"14","acd","allergic contact dermatitis"
"15","acgi","acute, chronic and granulomatous inflammation"
"16","aci","acute and chronic inflammation"
"17","acr","Although focal upward spread of melanocytes is noted, this finding is common in acral nevi."
"18","acro","acrochordon"
"19","ad","architectural disorder"
"20","ademp","atypical dermoepidermal melanocytic proliferation"
"21","adf","acquired digital fibrokeratoma"
"22","aeg","annular elastolytic granuloma"
"23","aesp","atypical endophytic squamous proliferation"
"24","afb","acid fast bacilli"
"25","afh","Certain variants of fibrous histiocytoma/dermatofibroma (atypical, cellular, aneurysmal, and deep) have an increased risk of local recurrence (approximately 25%) and have been described on rare occasion to behave in an aggressive fashion (see references below). `nReferences: 1. Kaddu S et al. Atypical fibrous histiocytoma of the skin: clinicopathologic analysis of 59 cases with evidence of infrequent metastasis. Am J Surg Pathol 2002; 26: 35-46. 2. Doyle L. and Fletcher C.D.M. Metastasizing "Benign" Cutaneous Fibrous Histiocytoma: A Clinicopathologic Analysis of 16 Cases. Am J Surg Pathol 2013;37;484-495"
"27","afx","atypical fibroxanthoma"
"28","afxmfh","Many authors consider atypical fibroxanthoma to represent a superficial variant of pleomorphic unclassified sarcoma (formerly known as malignant fibrous histiocytoma), in which the better prognosis is due to the superficial location.  If this lesion extends deeply, the prognosis may not be as good as would be expected for an atypical fibroxanthoma. REFERENCE: Miller K. et al. Pleomorphic Dermal Sarcoma: Adverse Histologic Features Predict Aggressive Behavior and Allow for Distinction From Atypical Fibroxanthoma. Am J Surg Pathol 2012, Sep;36(9):1317-26 (695.89)"
"30","aga","androgenetic alopecia"
"31","agep","acute generalized exanthematous pustulosis"
"32","agp","axillary granular parakeratosis"
"33","ai","acute inflammation"
"34","aiec","atypia of the intraepidermal component"
"35","aiedc","atypia of the intraepidermal and dermal components"
"36","aiemp","atypical intraepidermal melanocytic proliferation"
"37","ak","actinic keratosis"
"38","aka","acantholytic actinic keratosis"
"39","akn","acne keloidalis nuchae"
"40","alhe","angiolymphoid hyperplasia with eosinophilia"
"41","alm","acral lentiginous melanoma"
"42","almh","atypical lentiginous melanocytic hyperplasia"
"43","alnmh","atypical lentiginous and nested melanocytic hyperplasia"
"44","amd","Although minimal dermis is available for examination, no invasive squamous cell carcinoma is identified on the sections examined."
"45","amde","Although minimal dermis is available for examination,"
"46","ank","angiokeratoma"
"47","anp","atypical nevomelanocytic proliferation"
"48","arc","Despite mild architectural abnormalities, no significant cytologic atypia is appreciated."
"49","asd","Acute spongiotic dermatitis"
"50","atn","Atypical nevus"
"51","atop","atopic dermatitis"
"52","atypicalsmooth","Many experts in soft tissue tumors now advocate the term atypical smooth muscle tumor with recurrent potential rather than leiomyosarcoma for atypical smooth muscle tumors that are confined to the dermis.  However, lesions with similar cytology that extend into the subcutis have the potential for more aggressive clinical behavior and are termed cutaneous leiomyosarcoma (see references below). References: Hornick JL, Fletcher CD. Criteria for malignancy in nonvisceral smooth muscle tumors.  Ann Diagn Pathol. 2003 Feb;7(1) and Kraft S, Fletcher CD. Atypical Intradermal Smooth Muscle Neoplasms: Clinicopathologic Analysis of 84 Cases and a Reappraisal of Cutaneous "Leiomyosarcoma". Am J Surg Pathol 2011."
"54","avh","Arteriovenous hemangioma."
